"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"lteRsrq","Reference Signal Received Quality The received quality of the LTE reference signal. Range: -19.5 to -3, where -3 is best","number","2020-10-01","5"
"lteRssnr","Reference Signal Signal-to-Noise Ratio Perhaps the most important KPI, but it's rarely properly reported in Android OS. It's the ratio between the noise and signal of the LTE data transmission. Range is -30 to +30, where +30 is best","number","2020-10-01","3"
"lteEarfcn","EARFCN stands for E-UTRA Absolute Radio Frequency Channel Number.In LTE, the carrier frequency in the uplink and downlink is designated by EARFCN, which ranges between 0-65535. EARFCN uniquely identify the LTE band and carrier frequency. ... EARFCN is independent of channel bandwidth.","number","2020-10-01","8"
"ltePci","LTE Physical Cell Identity. An integer to identify the physical LTE cell the user is connected to. The value is unique to the physical cell antennae rather than a specific cell tower. Valid values are 0 to 503. A value of 65535 or null indicates that the device was unable to return a PCI value.","number","2020-10-01","5"
"lteTac","LTE Tracking Area Code. A 16 bit integer used to facilitate handoff of a device between cells. The Tracking Area Identity can be determined by prepending the MCC and MNC to the Tracking Area Code.","number","2020-10-01","9"
"lteCi","28-bit Cell Identity. An ID for a cell within a given network. Valid LTE IDs ranges allow integers up to 2147483647. The maximum valide value represents unknown.","number","2020-10-01","11"
"wcdmaPsc","Received Signal Code Power (UMTS)","number","2020-10-01","4"
"wcdmaUarfcn","The UTRA Absolute Radio Frequency Channel Number (UARFCN) is a unique number given to each radio channel within the frequency bands used by the UMTS UTRA. The UARFCN can be used to calculate the carrier frequency.","number","2020-10-01","8"
"wcdmaPsc","Primary Scrambling Code. Valid values range from 0 to 512 with 65535 representing unknown.","number","2020-10-01","5"
"wcdmaLac","A 16-bit integer representing a cell's location within a given operator's system. 65535 represents unknown.","number","2020-10-01","5"
"wcdmaCid","An ID for a cell within a given network. WCDMA allow integers up to 2147483647. In all three connection types, the maximum valid value represents unknown. ","number","2020-10-01","10"
"brand","The consumer facing brand of the device.","text","2022-01-03","255"
"device","The codename assigned to the device by the manufacturer.","text","2022-01-03","255"
"hardware","The device hardware name, as reported by the Android kernel.","text","2022-01-03","255"
"manufacturer","The device manufacturer.","text","2022-01-03","255"
"model","User device's model.","text","2022-01-03","255"
"product","The internal product code of the device. This is typically the same as the device codename, but occassionally differs.","text","2022-01-03","255"
"deviceTac","The device's Type Allocation Code (TAC) from the active SIM slot.","text","2022-01-03","8"
"chipsetName","Ookla-maintained device chipset name.","text","2022-01-03","255"
"chipsetManufacturer","Ookla-maintained device chipset manufacturer name.","text","2022-01-03","255"
"wifiSpeed","Theoretical maximum protocol speed between device and wifi router. This field is connected to wifi test results only.","number","2022-01-03","5"
"deviceRAM","maximum system memory in megabytes available to UE kernel","number","2022-01-03","19"
"wifiMacManufacturer","The manufacturer name associated with the MAC address of the WiFi access point (AP) serving the device based on IEEE Registration Authority assignments. This may not point to the marketed manufacturer name of the AP and may be associated with the manufacturer of another component such as the AP's radio.","text","2022-01-03","255"
"wifiSecure","A flag indicating whether or not security is enabled on the wifi network.  0 = No and 1 = Yes.","number","2022-01-03","3"
"wifiMaxSupportedRxLinkSpeed","The maximum supported receive link speed in Mbps reported by Android.","number","2022-01-03","11"
